bin_code,sendText,rust_action,include,textType,notes,matches
10100011,Undo,,Y,special_edit,,not implemented
10001001,End,Simple(Keyboard::End),N,special_nav,maybe?,y
100010001,Home,Simple(Keyboard::Home),N,special_nav,maybe?,y
1000101,PgDn,Simple(Keyboard::PageDown),N,special_nav,maybe?,y
1000100001,PgUp,Simple(Keyboard::PageUp),N,special_nav,maybe?,y
10000011,Brightness Down,,N,special_os,,not implemented
100000011,Brightness Up,,N,special_os,,not implemented
100011,Next Track,,N,special_os,,not implemented
1000011,Play/Pause,,N,special_os,,not implemented
111,Previous Track,,N,special_os,,not implemented
1000000011,Print Screen,,N,special_os,,not implemented
1011,Volume Down,,N,special_os,,not implemented
10011,Volume Up,,N,special_os,,not implemented
100100000,',Simple(Keyboard::Apostrophe),Y,symbol,,y
10010000,-,Simple(Keyboard::Minus),Y,symbol,,y
1001010,!,Shifted(Keyboard::Keyboard1),Y,symbol,,y
100100010,"""",Shifted(Keyboard::Apostrophe),Y,symbol,,y
1001000001,#,Shifted(Keyboard::Keyboard3),Y,symbol,,y
1000000101,$,Shifted(Keyboard::Keyboard4),Y,symbol,,y
10010001,%,Shifted(Keyboard::Keyboard5),Y,symbol,,y
1100001,&,Shifted(Keyboard::Keyboard7),Y,symbol,,y
101,(,Shifted(Keyboard::Keyboard9),Y,symbol,,y
1000001,),Shifted(Keyboard::Keyboard0),Y,symbol,,y
100000101,*,Shifted(Keyboard::Keyboard8),Y,symbol,,y
10000100,",",Simple(Keyboard::Comma),Y,symbol,,y
10000110,.,Simple(Keyboard::Dot),Y,symbol,,y
100001000,/,Simple(Keyboard::ForwardSlash),Y,symbol,,y
1000010010,:,Shifted(Keyboard::Semicolon),Y,symbol,,y
1000010000,;,Simple(Keyboard::Semicolon),Y,symbol,,y
1001000,?,Shifted(Keyboard::ForwardSlash),Y,symbol,,y
100101,@,Shifted(Keyboard::Keyboard2),Y,symbol,,y
1001,[,Simple(Keyboard::LeftBrace),Y,symbol,,y
100001010,\,Simple(Keyboard::Backslash),Y,symbol,,y
10000001,],Simple(Keyboard::RightBrace),Y,symbol,,y
1000001001,^,Shifted(Keyboard::Keyboard6),Y,symbol,,y
10010010,_,Shifted(Keyboard::Minus),Y,symbol,,y
100100001,`,Simple(Keyboard::Grave),Y,symbol,,y
100100001,`,Simple(Keyboard::Grave),Y,symbol,,y
10001,{,Shifted(Keyboard::LeftBrace),Y,symbol,,y
100001001,|,Shifted(Keyboard::Backslash),Y,symbol,,y
100000001,},Shifted(Keyboard::RightBrace),Y,symbol,,y
10000101,~,Shifted(Keyboard::Grave),Y,symbol,,y
1010001,+,Shifted(Keyboard::Equal),Y,symbol,,y
100001,<,Shifted(Keyboard::Comma),Y,symbol,,y
10100001,=,Simple(Keyboard::Equal),Y,symbol,,y
1000000001,>,Shifted(Keyboard::Dot),Y,symbol,,y
