sendText
r
s
n
i
a
o
t
c
u
q
l
y
f
p
z
b
h
d
g
x
k
v
j
m
w
/
-
?
","
;
'
R
S
N
I
A
O
T
E
C
U
Q
L
Y
P
Z
B
H
D
G
X
V
J
M
W
\
_
!
.
:
""""
>
}
]
)
<
{
[
(
1
2
3
4
6
7
9
0
@
#
^
+
*
=
$
&
|
%
~
`
e
F
K
5
8
