Strict,Steno
SLT,S
SLB,S
TL,T
K,K
PL,P
W,W
H,H
RL,R
A,A
O,O
*,*
E,E
U,U
F,F
RR,R
PR,P
B,B
L,L
G,G
TR,T
SR,S
D,D
Z,Z
